x,y,question,n,r_pearson,p_pearson,r_spearman,p_spearman,r_squared,slope,intercept
years_professional,years_to_leadership,Does more experience predict faster leadership entry?,109,0.19020632574895402,0.047586483758792604,0.17984722870860279,0.061303267104479954,0.03617844635491729,0.12154880670050895,4.187122296048033
career_investment,developing_successors,Do ambitious leaders develop others?,119,-0.13391526488423833,0.14650938929824633,-0.12040469068268794,0.19211532372656692,0.017933298169015677,-0.1559658308073849,3.970790851474235
developing_successors,mentored_count,Does developing successors predict mentoring?,119,0.12030022017203401,0.1925041380437998,0.1919012025999314,0.03654851585345601,0.014472142973440238,2.6466734382935506,6.826307770441845
natural_leadership,mentor_influence,Do natural leaders seek more mentorship?,119,0.10487673556507207,0.25632183299714184,0.08458544754281118,0.36039158126558846,0.010999129662786156,0.11997467553023099,2.8246280468502696
tool_stack_change,career_investment,Are change-ready designers more ambitious?,119,0.0780696419322394,0.39870349720483234,0.11941595008204432,0.19581806868412596,0.006094868991428082,0.11827956989247322,3.366856419987349
natural_leadership,years_to_leadership,Do natural leaders reach leadership faster?,119,-0.0639795462284128,0.48939196041456334,-0.08167229534365836,0.37722991490902535,0.004093382335593421,-0.2516619183285848,7.741215574548907
mentor_influence,career_investment,Does mentorship drive career ambition?,119,0.055019438965401984,0.5523071703830493,0.06901167166683764,0.4558052296101859,0.0030271386640676745,0.042089985486211894,3.7706821480406383
early_confidence,natural_leadership,Are confident people natural leaders?,119,0.010685183592532212,0.9081799686022709,0.012007684337786258,0.8968746650031488,0.00011417314840667103,0.011041009463722377,3.5227579990986935
years_to_leadership,current_reports,Does early leadership predict larger teams?,102,0.009147886351078018,0.927292066017634,0.10614080954588813,0.28834431437976527,8.368382469192692e-05,0.04762031233400616,11.520999327171642
years_professional,mentored_count,Does experience predict mentoring others?,109,-0.008547676553396107,0.9297072843696815,0.029261011804951432,0.7626241459684557,7.30627744617296e-05,-0.03187086363131488,16.650647119160077
